1960,"400
"
1909,"4200
"
1989,"2000
"
1955,"1000
"
1910,"3000
"
1924,"600
"
1960,"180
"
1930,"2200
"
1971,Unsold
1938,"4000
"
1903,Unsold
1923,Unsold
1949,Unsold
1962,"2400
"
1900,Unsold
1946,Unsold
1932,"200
"
1870,"800
"
1934,Unsold
1950,Unsold
1860,"1100
"
2006,"6500
"
2004,"400
"
1947,Unsold
1870,Unsold
1948,Unsold
1935,Unsold
1926,Unsold
1887,"500
"
1865,"750
"
1952,"1000
"
1956,"100
"
1957,"3200
"
1957,"2000
"
1965,"2400
"
1965,"1500
"
1989,"2400
"
1950,"900
"
1977,Unsold
2007,"600
"
1970,Unsold
1954,"800
"
1952,Unsold
1993,"200
"
1984,"1300
"
2001,"5000
"
1950,"2200
"
1864,"1300
"
1879,Unsold
1906,Unsold
1860,"400
"
1955,Unsold
1957,Unsold
1969,"1100
"
2003,"200
"
1870,Unsold
2004,"400
"
1944,"5500
"
1959,Unsold
1961,Unsold
1935,Unsold
1948,"850
"
1952,"1800
"
1976,Unsold
1880,Unsold
1851,Unsold
1942,Unsold
1979,Unsold
1953,"100
"
1974,Unsold
1993,"2500
"
1866,"650
"
1983,"1800
"
1989,Unsold
2000,"1000
"
1938,Unsold
1961,Unsold
1949,Unsold
1955,"300
"
1938,Unsold
1860,"400
"
2004,"400
"
1960,"150
"
1880,"950
"
1975,"1600
"
1994,"300
"
1962,"100
"
1955,"800
"
2007,"5000
"
1900,Unsold
1963,"700
"
1981,Unsold
1947,Unsold
1974,Unsold
1850,Unsold
1860,"2200
"
1858,"700
"
1954,"2000
"
1950,Unsold
1953,"1600
"
2006,"800
"
2008,"1000
"
1860,"260
"
1972,Unsold
1915,Unsold
2010,"2200
"
1861,"300
"
1938,Unsold
1958,Unsold
1972,"900
"
1954,Unsold
1959,"550
"
1931,Unsold
1930,"400
"
2008,"1000
"
1851,"600
"
1899,Unsold
1955,"800
"
1953,"5000
"
1959,Unsold
1964,"1300
"
1988,"3500
"
2010,"1000
"
1984,"150
"
1913,"600
"
1957,"3000
"
1949,Unsold
1983,"500
"
1851,Unsold
1986,"1600
"
1933,Unsold
1960,"4500
"
1997,Unsold
1964,Unsold
1960,Unsold
1861,"280
"
2007,"5000
"
1969,"260
"
1960,"800
"
1963,"650
"
1858,"500
"
1866,Unsold
1980,"2000
"
1966,Unsold
1949,Unsold
1987,"1500
"
1920,"1000
"
1925,Unsold
1955,"800
"
2005,"130
"
1850,Unsold
1959,"1200
"
2007,"7000
"
1928,"1700
"
1924,Unsold
1937,Unsold
1967,Unsold
1980,"800
"
1964,"700
"
1981,"400
"
1970,Unsold
1977,Unsold
1984,"1600
"
1971,"550
"
1930,"1200
"
1900,"1800
"
1957,"120
"
1888,Unsold
1986,Unsold
1984,"400
"
1905,"75
"
1964,"700
"
1960,"150
"
1858,"2200
"
2005,Unsold
1856,"420
"
1936,Unsold
1936,Unsold
1951,"4000
"
1945,Unsold
1870,Unsold
1925,Unsold
1964,Unsold
1860,"480
"
1970,Unsold
1909,Unsold
1965,"700
"
1988,Unsold
1952,"200
"
1990,"380
"
1968,Unsold
1850,Unsold
1934,Unsold
1987,"1000
"
1996,"420
"
1971,"1000
"
2010,Unsold
1981,"300
"
1956,"140
"
1855,"9000
"
1956,"480
"
1960,Unsold
1900,"1200
"
1983,Unsold
1971,"380
"
1973,Unsold
1855,"700
"
1890,"2200
"
2001,Unsold
1947,"1200
"
